         Year    Emissions
count 1521.00      1521.00
mean  2018.22   5289122.92
std      3.46  17433274.01
min   2013.00      2929.35
25%   2015.00    193359.60
50%   2018.00    752333.06
75%   2021.00   3086134.80
max   2024.00 201470910.00

Emissions per year statistics:
    Year       mean     median  count
0   2013 4510910.57  578347.25    136
1   2014 4691438.32  597484.75    137
2   2015 4773518.87  602103.30    142
3   2016 4977858.91  606600.73    144
4   2017 5247213.82  629367.05    144
5   2018 5500711.67  659881.95    144
6   2019 7418591.08 1205579.80    111
7   2020 4329470.82  864716.90     91
8   2021 4060286.34  600933.90    115
9   2022 5054887.61  804157.43    120
10  2023 6333768.18  995227.75    118
11  2024 6788595.86 1014980.10    119
